iteration	epoch	batch	time/img	loss_rgb	loss_normal	loss_laplacian	loss_perceptual	loss_uniform	loss_neighbor	loss_total	prop_head0	prop_head1	prop_head2	prop_head3	prop_head4	prop_head5
274000	107	1580	0.013235	0.008670	0.000344	0.000104	0.011685	0.000317	0.020906	0.042026	0.168222	0.164643	0.167565	0.164526	0.166932	0.168112
276000	108	1010	0.013175	0.008593	0.000339	0.000104	0.011597	0.000320	0.020594	0.041547	0.166307	0.165870	0.165565	0.165635	0.165409	0.171215
278000	109	440	0.013281	0.008493	0.000345	0.000105	0.011521	0.000330	0.020418	0.041211	0.166174	0.163025	0.166182	0.165010	0.167245	0.172363
280000	109	2440	0.013343	0.008553	0.000342	0.000104	0.011567	0.000329	0.020653	0.041549	0.165375	0.166031	0.166844	0.163062	0.167281	0.171406
282000	110	1870	0.013189	0.008413	0.000342	0.000105	0.011416	0.000330	0.020278	0.040883	0.167253	0.162752	0.165471	0.166784	0.168964	0.168777
284000	111	1300	0.013255	0.008544	0.000344	0.000105	0.011533	0.000316	0.020574	0.041416	0.164377	0.167956	0.170003	0.161915	0.167221	0.168527
286000	112	730	0.013213	0.008489	0.000343	0.000105	0.011486	0.000323	0.020470	0.041217	0.165158	0.165987	0.169066	0.164510	0.166565	0.168714
288000	113	160	0.013136	0.008493	0.000343	0.000104	0.011524	0.000328	0.020467	0.041259	0.169503	0.166815	0.171097	0.160501	0.164229	0.167854
290000	113	2160	0.013110	0.008505	0.000340	0.000105	0.011508	0.000326	0.020399	0.041184	0.167375	0.166469	0.170063	0.162969	0.166187	0.166937
292000	114	1590	0.013249	0.008481	0.000351	0.000106	0.011475	0.000325	0.020289	0.041027	0.166753	0.165776	0.169933	0.162931	0.166292	0.168316
294000	115	1020	0.013247	0.008386	0.000340	0.000106	0.011417	0.000329	0.020227	0.040805	0.167104	0.166253	0.166612	0.162087	0.168300	0.169644
296000	116	450	0.013048	0.008453	0.000337	0.000105	0.011435	0.000326	0.020420	0.041077	0.165158	0.167714	0.168753	0.162845	0.166159	0.169370
298000	116	2450	0.013055	0.008571	0.000343	0.000105	0.011545	0.000324	0.020679	0.041568	0.164813	0.165563	0.169844	0.163625	0.165219	0.170937
300000	117	1880	0.013334	0.008360	0.000351	0.000105	0.011395	0.000327	0.020164	0.040702	0.166245	0.164846	0.166557	0.161611	0.168605	0.172137
